Delegacia;Furtos na região;Roubo de carga;Roubos;Roubo de Veiculo;Furto de veiculo;Latrocinios;Homicídio doloso por acidente de trânsito;Homicídio Culposo por acidente de Trânsito;Homicídio Culposo;Tentativa de Homicídio;Lesão Corporal seguida de morte;Lesão Corporal Dolosa;Lesão Corporal Culposa por acidente de trânsito;Lesão Corporal Culposa;Estupro;Estupro de vulnerável;Roubo de veiculos;Roubo a Banco ;Ano
050 DP - Itaim Paulista;2.078;18;2.623;0;285;10;0;5;0;7;0;410;107;18;18;48;303;0;2020
050 DP - Itaim Paulista;2.780;13;2.936;1;457;4;0;7;0;8;0;490;151;33;17;40;533;0;2019
051 DP - Butantã;1.265;27;1.047;2;125;4;0;6;0;8;0;225;111;6;8;7;157;0;2020
051 DP - Butantã;1.724;26;1.446;3;183;0;0;3;0;4;0;243;143;6;11;12;220;0;2019
052 DP - Parque São Jorge;1.606;9;506;1;190;2;0;0;0;3;1;149;119;2;3;6;26;0;2020
052 DP - Parque São Jorge;2.251;22;624;1;426;0;0;2;1;0;0;140;77;10;5;10;44;0;2019
053 DP - Parque do Carmo;969;71;1.380;0;353;6;0;2;1;10;0;338;168;6;8;22;313;0;2020
053 DP - Parque do Carmo;1.325;43;1.285;1;549;9;0;3;0;6;0;315;161;4;12;23;428;0;2019
054 DP - Cidade Tiradentes;1.125;110;1.575;1;231;19;0;5;0;14;1;418;81;3;5;31;261;0;2020
054 DP - Cidade Tiradentes;1.176;77;1.460;2;285;17;0;9;0;14;1;463;102;8;9;33;328;0;2019
055 DP - Parque São Rafael;904;35;972;1;230;9;0;1;1;7;1;206;46;6;4;13;279;0;2020
055 DP - Parque São Rafael;1.139;28;1.245;1;261;15;0;7;0;9;0;230;79;7;4;19;460;0;2019
056 DP - Vila Alpina;964;19;697;1;408;2;1;2;0;4;0;133;97;7;4;5;153;1;2020
056 DP - Vila Alpina;1.455;28;1.181;0;674;3;0;1;0;3;0;172;143;9;4;5;215;0;2019
057 DP - Parque da Moóca;585;5;322;0;288;0;0;0;0;0;0;128;49;9;4;6;38;1;2020
057 DP - Parque da Moóca;633;5;337;0;331;0;0;0;1;0;0;113;76;8;7;4;69;0;2019
058 DP - Vila Formosa;430;6;450;0;332;1;0;2;0;3;0;97;45;1;1;5;78;0;2020
058 DP - Vila Formosa;545;2;479;0;442;1;0;4;0;4;0;149;88;0;5;6;96;0;2019
059 DP - Jardim Noemia;692;27;944;1;105;3;0;1;0;5;0;250;50;2;8;21;112;0;2020
059 DP - Jardim Noemia;959;25;1.113;0;157;7;0;1;0;8;0;278;65;10;5;34;161;0;2019
062 DP - Ermelino Matarazzo;1.339;18;1.051;0;210;11;0;7;0;10;2;280;103;16;6;19;102;1;2020
062 DP - Ermelino Matarazzo;1.588;17;1.108;0;354;7;2;4;0;9;1;391;113;8;5;23;87;0;2019
063 DP - Vila Jacuí;1.383;14;1.420;1;280;11;0;7;0;8;1;355;125;12;8;35;192;0;2020
063 DP - Vila Jacuí;1.669;33;1.336;0;404;9;0;8;0;6;0;387;125;14;9;36;214;0;2019
064 DP - Cidade A E Carvalho;1.795;14;1.584;1;422;10;0;4;0;7;3;476;67;20;11;29;189;1;2020
064 DP - Cidade A E Carvalho;2.389;13;1.544;0;517;12;0;3;0;7;0;533;103;12;7;40;278;0;2019
065 DP - Artur Alvim;1.745;5;911;0;255;4;0;7;0;4;0;233;76;5;4;11;122;0;2020
065 DP - Artur Alvim;2.586;3;1.091;1;287;4;0;2;1;4;0;310;102;14;3;6;226;0;2019
066 DP - Vale do Aricanduva;1.233;15;1.269;0;361;2;0;7;0;3;0;331;107;5;3;17;192;0;2020
066 DP - Vale do Aricanduva;1.596;19;1.514;1;420;5;0;6;0;12;0;356;145;3;6;19;309;0;2019
067 DP - Jardim Robru;809;24;1.022;1;104;6;0;0;0;1;0;226;31;3;1;29;98;0;2020
067 DP - Jardim Robru;1.013;15;1.118;0;152;3;0;2;0;5;0;249;53;8;2;38;182;0;2019
068 DP - Lajeado;1.086;7;1.404;1;156;6;0;3;0;8;2;302;81;7;6;31;207;0;2020
068 DP - Lajeado;1.202;16;1.641;0;172;11;0;3;0;6;0;391;114;3;16;44;329;0;2019
069 DP - Teotônio Vilela;1.260;31;1.363;0;543;10;0;3;0;8;1;384;120;8;10;38;267;0;2020
069 DP - Teotônio Vilela;1.925;39;1.716;1;878;12;0;5;2;10;1;392;125;8;12;36;484;0;2019
070 DP - Vila Ema;905;43;1.309;2;497;15;0;6;0;7;0;209;113;16;5;23;241;0;2020
070 DP - Vila Ema;1.052;44;1.602;0;747;12;0;2;0;9;0;281;155;7;7;33;397;0;2019
072 DP - Vila Penteado;881;30;745;0;96;17;0;5;1;9;0;223;116;6;4;29;81;0;2020
072 DP - Vila Penteado;1.261;55;1.375;1;184;9;0;4;1;9;2;322;191;10;11;27;222;0;2019
073 DP - Jaçanã;1.791;91;1.774;1;397;14;0;22;1;16;0;513;171;38;13;53;267;0;2020
073 DP - Jaçanã;2.001;47;2.032;2;441;30;0;25;1;19;0;613;265;21;15;58;403;0;2019
074 DP - Jaraguá;1.387;259;1.587;1;261;17;0;10;0;10;1;459;115;10;8;60;234;0;2020
074 DP - Jaraguá;1.576;232;1.959;1;322;11;0;1;1;17;0;544;170;5;11;56;310;0;2019
075 DP - Jardim Arpoador;880;84;1.418;1;175;9;0;5;0;7;0;246;74;35;3;21;232;0;2020
075 DP - Jardim Arpoador;921;127;1.464;0;169;5;0;6;0;13;0;251;108;38;6;32;303;0;2019
077 DP - Santa Cecília;3.783;2;1.735;0;122;4;0;2;0;6;1;244;65;4;9;8;23;0;2020
077 DP - Santa Cecília;3.542;2;1.813;0;171;5;0;3;0;9;4;326;84;17;13;6;34;0;2019
078 DP - Jardins;6.097;2;1.759;1;282;3;0;2;0;2;0;199;110;27;5;5;15;0;2020
